URN,EstablishmentName,Postcode,Latitude,Longitude,ReligiousCharacter,OfstedRating
100000,The Aldgate School,EC3A 5DE,51.513664,-0.07746,Yes,Outstanding
100008,Argyle Primary School,WC1H 9EG,51.528752,-0.124012,No,Good
100009,West Hampstead Primary School,NW6 1QL,51.550753,-0.199482,No,Good
100010,Brecknock Primary School,NW1 9AL,51.547483,-0.127871,No,Good
100011,Brookfield Primary School,N19 5DH,51.563332,-0.145111,No,Good
100013,Edith Neville Primary School,NW1 1HQ,51.532374,-0.130639,No,Outstanding
100014,Fleet Primary School,NW3 2QT,51.553464,-0.160918,No,Good
100015,Hawley Primary School,NW1 8RP,51.542718,-0.143829,No,Good
100018,Netley Primary School,NW1 3EX,51.527712,-0.14059,No,Good
100019,New End Primary School,NW3 1HU,51.55814,-0.176512,No,Good
100020,Primrose Hill School,NW1 8JL,51.539175,-0.151775,No,Good
100021,Rhyl Community Primary School,NW5 3HB,51.547717,-0.150563,No,Outstanding
100022,Richard Cobden Primary School,NW1 0LL,51.535595,-0.13639,No,Outstanding
100023,Torriano Primary School,NW5 2SJ,51.549675,-0.132815,No,Outstanding
100025,Gospel Oak Primary School,NW3 2JB,51.554641,-0.152864,No,Outstanding
100026,Fitzjohn's Primary School,NW3 6NP,51.5534,-0.175836,No,Good
100027,Eleanor Palmer Primary School,NW5 2JA,51.554369,-0.13907,No,Outstanding
100028,"Christ Church Primary School, Hampstead",NW3 1JH,51.559257,-0.176597,Yes,Outstanding
100029,Christ Church School,NW1 4BD,51.530775,-0.144344,Yes,Good
100030,Emmanuel Church of England Primary School,NW6 1TF,51.551837,-0.194549,Yes,Good
100031,Hampstead Parochial Church of England Primary School,NW3 6TX,51.556444,-0.179003,Yes,Good
100032,"Holy Trinity CofE Primary School, NW3",NW3 5SQ,51.546251,-0.178155,Yes,Not judged
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",NW1 8DE,51.544547,-0.145197,Yes,Good
100034,Kentish Town Church of England Primary School,NW5 2TU,51.549723,-0.139246,Yes,Outstanding
100035,Rosary Catholic Primary School,NW3 2AE,51.55162,-0.166055,Yes,Good
100036,St Alban's Church of England Primary School,EC1N 7SD,51.520173,-0.111146,Yes,Good
100040,St George the Martyr Church of England Primary School,WC1N 2NX,51.522,-0.116231,Yes,Outstanding
100041,St Josephs Catholic Primary School,WC2B 5NA,51.51619,-0.121833,Yes,Good
100042,St Mary's Kilburn Church of England Primary School,NW6 4PG,51.54037,-0.19333,Yes,Outstanding
100043,St Mary and St Pancras Church of England Primary School,NW1 1QP,51.532372,-0.134446,Yes,Good
100045,St Patrick's Catholic Primary School,NW5 3AH,51.549203,-0.142786,Yes,Not judged
100046,St Paul's Church of England Primary School,NW3 3DS,51.541385,-0.163712,Yes,Good
100047,St Eugene de Mazenod Roman Catholic Primary School,NW6 4LS,51.54097,-0.193725,Yes,Outstanding
100048,Our Lady Roman Catholic Primary School,NW1 0DP,51.539046,-0.136797,Yes,Outstanding
100114,Morden Mount Primary School,SE13 7QP,51.470157,-0.014395,No,Good
100115,Cherry Orchard Primary School,SE7 7DG,51.475826,0.03369,No,Good
100120,Ealdham Primary School,SE9 6BP,51.456733,0.035303,No,Good
100125,Fossdene Primary School,SE7 7NQ,51.483893,0.026919,No,Good
100127,Gordon Primary School,SE9 1QG,51.458611,0.052963,No,Good
100129,Haimo Primary School,SE9 6DY,51.455391,0.041663,No,Good
100131,Henwick Primary School,SE9 6NZ,51.462784,0.042612,No,Good
100134,Invicta Primary School,SE3 7HE,51.478975,0.020595,No,Good
100137,Meridian Primary School,SE10 9NY,51.484211,-0.00049,No,Good
100140,Plumcroft Primary School,SE18 3HW,51.477017,0.074037,No,Good
100141,Sherington Primary School,SE7 7JP,51.480092,0.025713,No,Good
100142,Thorntree Primary School,SE7 8AE,51.487504,0.041642,No,Good
100146,Wyborne Primary School,SE9 2EH,51.439851,0.070381,No,Good
100149,Montbelle Primary School,SE9 3EY,51.427546,0.061827,No,Good
100152,De Lucy Primary School,SE2 9PD,51.495476,0.110015,No,Good
100155,Cardwell Primary School,SE18 5LP,51.490741,0.053513,No,Not judged
100158,Heronsgate Primary School,SE28 0EA,51.494056,0.082778,No,Outstanding
100159,Linton Mead Primary School,SE28 8DT,51.508016,0.113275,No,Good
100162,Greenslade Primary School,SE18 2QQ,51.479253,0.085833,No,Good
100163,Mulgrave Primary School,SE18 5DL,51.488555,0.060776,No,Good
100164,Charlton Manor Primary School,SE7 7EF,51.477634,0.036809,No,Good
100165,Christ Church Church of England Primary School,SE10 0DZ,51.487437,0.007026,Yes,Good
100166,"Christ Church Church of England Primary School, Shooters Hill",SE18 3RS,51.469838,0.060897,Yes,Good
100167,Eltham Church of England Primary School,SE9 1TR,51.451311,0.056925,Yes,Good
100168,Our Lady of Grace Catholic Primary School,SE7 7HR,51.48143,0.028408,Yes,Outstanding
